GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0400000US26,26,Michigan,3841148,7758,49576,186,81.6,0.1,52937,194,13.4,0.1,29678,455,0.5,0.1,38034,1533,2.2,0.1,74517,1733,0.0,0.1,47201,9631,0.8,0.1,37344,1651,1.5,0.1,36354,1259,3.2,0.1,39571,1081,79.5,0.1,53303,195,4.1,0.1,22455,455,30.2,0.1,53669,451,41.0,0.1,60516,278,24.7,0.1,37528,204,2497834,7539,62247,263,41.9,0.2,60537,483,58.1,0.2,63315,250,73.4,0.2,75133,257,19.5,0.2,28824,311,7.0,0.1,41236,411,1343314,5497,29391,184,53.0,0.3,25742,169,45.5,0.3,23789,197,7.4,0.1,45228,859,47.0,0.3,34187,335,37.5,0.2,30959,254,9.5,0.2,51101,725,29.9,(X),(X),(X),30.0,(X),(X),(X),28.4,(X),(X),(X)
1600000US2600380,2600380,"Addison village, Michigan",235,47,41875,9057,99.1,2.0,42589,10244,0.0,9.1,-,**,0.0,9.1,-,**,0.0,9.1,-,**,0.0,9.1,-,**,0.0,9.1,-,**,0.9,2.0,-,**,2.1,3.9,-,**,97.0,4.5,43036,8373,4.7,4.3,35208,5698,20.9,10.1,44659,2512,52.8,10.7,43333,28598,21.7,7.0,28750,13673,155,34,46953,4364,44.5,13.0,40625,8294,55.5,13.0,50833,11494,72.3,12.1,(X),(X),23.9,13.7,(X),(X),3.9,4.3,(X),(X),80,30,18929,11354,75.0,17.9,(X),(X),75.0,17.9,(X),(X),0.0,24.2,(X),(X),25.0,17.9,(X),(X),22.5,17.3,(X),(X),2.5,5.4,(X),(X),24.7,(X),(X),(X),31.6,(X),(X),(X),11.3,(X),(X),(X)
1600000US2600440,2600440,"Adrian city, Michigan",7869,302,31805,2365,89.9,2.1,32114,2708,2.3,1.3,31154,7512,0.9,0.7,14239,6089,0.6,0.4,(X),(X),0.5,0.7,-,**,3.2,1.1,28289,16560,2.7,1.4,27917,21948,16.1,1.9,26511,4905,78.6,2.4,34177,3233,9.1,2.1,13851,4654,31.9,2.7,31064,4120,35.4,2.6,38642,5380,23.6,2.1,31049,3562,4248,210,41071,4969,44.2,3.7,30135,5126,55.8,3.7,50254,5330,61.8,4.4,(X),(X),31.1,4.3,(X),(X),7.1,2.1,(X),(X),3621,332,20777,2513,51.8,4.9,(X),(X),42.8,5.0,(X),(X),9.0,3.1,(X),(X),48.2,4.9,(X),(X),38.2,5.4,(X),(X),10.0,3.0,(X),(X),31.7,(X),(X),(X),30.1,(X),(X),(X),32.7,(X),(X),(X)
1600000US2600480,2600480,"Advance CDP, Michigan",137,25,65179,39391,98.5,2.2,57083,31135,0.0,15.1,-,**,1.5,2.2,-,**,0.0,15.1,-,**,0.0,15.1,-,**,0.0,15.1,-,**,0.0,15.1,-,**,0.0,15.1,-,**,98.5,2.2,57083,31135,1.5,2.5,-,**,8.0,6.4,73438,41310,54.0,12.4,66429,35976,36.5,12.7,44167,29172,90,18,83333,16539,23.3,12.8,77083,20642,76.7,12.8,83750,23671,91.1,7.3,84167,17686,0.0,21.9,-,**,8.9,7.3,76667,35704,47,22,(X),(X),70.2,21.2,(X),(X),44.7,26.9,(X),(X),25.5,25.3,(X),(X),29.8,21.2,(X),(X),25.5,20.7,(X),(X),4.3,6.3,(X),(X),15.3,(X),(X),(X),23.3,(X),(X),(X),0.0,(X),(X),(X)
1600000US2600620,2600620,"Ahmeek village, Michigan",63,21,19464,5216,100.0,29.2,19464,5216,0.0,29.2,-,**,0.0,29.2,-,**,0.0,29.2,-,**,0.0,29.2,-,**,0.0,29.2,-,**,0.0,29.2,-,**,0.0,29.2,-,**,100.0,29.2,19464,5216,0.0,29.2,(X),(X),31.7,18.5,(X),(X),28.6,17.4,(X),(X),39.7,16.4,(X),(X),33,15,(X),(X),39.4,22.4,(X),(X),60.6,22.4,(X),(X),30.3,21.9,(X),(X),48.5,27.2,(X),(X),21.2,24.2,(X),(X),30,16,18929,4865,26.7,19.0,(X),(X),16.7,14.4,(X),(X),10.0,14.2,(X),(X),73.3,19.0,(X),(X),73.3,19.0,(X),(X),0.0,45.1,(X),(X),22.2,(X),(X),(X),12.1,(X),(X),(X),33.3,(X),(X),(X)
1600000US2600700,2600700,"Akron village, Michigan",156,28,39375,10408,97.4,2.9,40000,10275,0.0,13.4,-,**,1.9,2.7,-,**,0.0,13.4,-,**,0.0,13.4,-,**,0.0,13.4,-,**,0.6,1.5,-,**,5.1,5.0,(X),(X),93.6,5.1,39375,10500,5.1,5.0,(X),(X),45.5,11.1,(X),(X),30.8,8.7,(X),(X),18.6,6.2,(X),(X),99,21,45125,8205,46.5,12.3,39167,19474,53.5,12.3,45972,7965,65.7,12.4,(X),(X),21.2,11.6,(X),(X),13.1,9.6,(X),(X),57,19,27813,10547,45.6,18.8,(X),(X),33.3,19.5,(X),(X),12.3,11.3,(X),(X),54.4,18.8,(X),(X),40.4,17.1,(X),(X),14.0,13.6,(X),(X),25.6,(X),(X),(X),30.3,(X),(X),(X),17.5,(X),(X),(X)
1600000US2600860,2600860,"Alanson village, Michigan",311,52,34727,9250,96.5,2.7,34297,6849,0.0,7.0,-,**,2.6,2.1,56667,55292,0.0,7.0,-,**,0.0,7.0,-,**,0.0,7.0,-,**,1.0,1.9,-,**,1.3,2.2,-,**,95.2,3.6,34453,8207,2.3,2.3,-,**,35.4,8.3,32500,11646,45.3,8.6,43750,11440,17.0,7.1,33917,4327,194,39,46500,8894,43.3,10.5,36500,14259,56.7,10.5,50313,9155,70.1,10.3,(X),(X),26.8,9.9,(X),(X),3.1,3.2,(X),(X),117,34,23854,9634,37.6,15.3,(X),(X),26.5,14.2,(X),(X),11.1,7.7,(X),(X),62.4,15.3,(X),(X),44.4,15.9,(X),(X),17.9,11.3,(X),(X),22.5,(X),(X),(X),21.1,(X),(X),(X),24.8,(X),(X),(X)
1600000US2600900,2600900,"Alba CDP, Michigan",144,40,36316,6639,95.8,6.9,36346,8248,0.0,14.4,-,**,0.0,14.4,-,**,0.0,14.4,-,**,0.0,14.4,-,**,0.0,14.4,-,**,4.2,6.9,-,**,0.0,14.4,-,**,95.8,6.9,36346,8248,6.3,9.3,-,**,17.4,15.1,36375,20915,40.3,17.7,42500,16107,36.1,16.8,28148,9247,113,37,32279,9491,17.7,17.4,41667,13114,82.3,17.4,30809,3974,63.7,18.4,38125,5364,23.0,15.9,28611,2868,13.3,14.0,-,**,31,24,(X),(X),16.1,20.6,(X),(X),16.1,20.6,(X),(X),0.0,44.3,(X),(X),83.9,20.6,(X),(X),83.9,20.6,(X),(X),0.0,44.3,(X),(X),43.1,(X),(X),(X),35.4,(X),(X),(X),16.1,(X),(X),(X)
1600000US2600980,2600980,"Albion city, Michigan",2894,178,26817,1570,62.9,3.8,32203,3628,34.5,3.4,21589,3368,0.5,0.6,-,**,0.0,0.8,-,**,0.0,0.8,-,**,0.7,0.6,(X),(X),1.5,1.5,27188,2054,5.4,2.3,22917,9630,59.1,3.9,33781,4486,5.4,2.5,17161,5052,30.8,3.6,26799,2242,34.8,3.2,33194,5015,29.0,2.4,25643,4422,1783,122,33341,4018,40.5,5.3,25126,3935,59.5,5.3,40298,9007,55.0,5.3,(X),(X),34.3,4.6,(X),(X),10.7,3.9,(X),(X),1111,144,20142,1374,57.9,5.7,(X),(X),50.9,5.9,(X),(X),6.9,3.0,(X),(X),42.1,5.7,(X),(X),33.6,6.1,(X),(X),8.6,4.6,(X),(X),27.2,(X),(X),(X),25.7,(X),(X),(X),29.6,(X),(X),(X)
1600000US2601060,2601060,"Alden CDP, Michigan",68,25,46875,8197,100.0,27.5,46875,8197,0.0,27.5,-,**,0.0,27.5,-,**,0.0,27.5,-,**,0.0,27.5,-,**,0.0,27.5,-,**,0.0,27.5,-,**,0.0,27.5,-,**,100.0,27.5,46875,8197,5.9,9.0,-,**,0.0,27.5,-,**,39.7,19.5,62083,11641,54.4,21.9,40938,17755,32,17,52083,16130,12.5,17.4,-,**,87.5,17.4,58333,17743,78.1,19.1,52292,30987,21.9,19.1,-,**,0.0,43.6,-,**,36,23,45313,25691,38.9,30.5,(X),(X),38.9,30.5,(X),(X),0.0,41.1,(X),(X),61.1,30.5,(X),(X),61.1,30.5,(X),(X),0.0,41.1,(X),(X),23.5,(X),(X),(X),40.6,(X),(X),(X),8.3,(X),(X),(X)
1600000US2601180,2601180,"Algonac city, Michigan",1956,128,40733,7177,99.8,0.6,40683,7268,0.0,1.1,-,**,0.2,0.6,-,**,0.0,1.1,-,**,0.0,1.1,-,**,0.0,1.1,-,**,0.0,1.1,-,**,0.8,1.3,-,**,99.1,1.3,40933,6944,3.6,2.9,13466,9329,24.4,6.4,40396,7095,44.3,6.1,61875,25704,27.7,4.1,25601,6651,1102,114,54896,24848,35.8,9.9,43393,41597,64.2,9.9,64688,21550,72.0,10.8,(X),(X),17.0,8.9,(X),(X),11.1,6.6,(X),(X),854,190,24919,5751,50.7,12.0,19155,4706,43.2,11.6,17804,3592,7.5,5.0,50313,22916,49.3,12.0,30494,11105,44.8,11.6,30959,16578,4.4,4.1,18824,16383,30.1,(X),(X),(X),29.0,(X),(X),(X),28.1,(X),(X),(X)
1600000US2601260,2601260,"Allegan city, Michigan",2071,169,41010,4109,91.8,4.3,41321,5803,7.2,4.1,41042,16695,0.9,1.4,-,**,0.0,1.1,-,**,0.0,1.1,-,**,0.0,1.1,-,**,0.0,1.1,-,**,2.3,2.3,-,**,91.3,4.3,41518,5924,8.1,6.5,(X),(X),27.9,6.3,(X),(X),38.8,7.1,(X),(X),25.2,4.9,(X),(X),1315,144,44523,13791,33.4,7.5,44620,27510,66.6,7.5,44481,17283,66.0,9.9,(X),(X),23.3,9.2,(X),(X),10.6,5.9,(X),(X),756,226,29286,13359,49.7,13.9,(X),(X),44.4,13.0,(X),(X),5.3,6.7,(X),(X),50.3,13.9,(X),(X),38.0,14.1,(X),(X),12.3,10.4,(X),(X),37.9,(X),(X),(X),38.3,(X),(X),(X),37.3,(X),(X),(X)
1600000US2601300,2601300,"Allen village, Michigan",104,21,45000,14412,100.0,19.3,45000,14412,0.0,19.3,-,**,0.0,19.3,-,**,0.0,19.3,-,**,0.0,19.3,-,**,0.0,19.3,-,**,0.0,19.3,-,**,4.8,7.1,-,**,95.2,7.1,49375,14436,1.0,2.2,(X),(X),21.2,10.1,(X),(X),44.2,15.3,(X),(X),33.7,13.0,(X),(X),70,19,51250,16871,31.4,14.1,36250,21314,68.6,14.1,56000,13146,68.6,15.8,66250,27663,12.9,9.0,41875,16475,18.6,14.8,25938,22821,34,14,24375,8666,58.8,22.7,(X),(X),50.0,23.1,(X),(X),8.8,9.7,(X),(X),41.2,22.7,(X),(X),38.2,22.2,(X),(X),2.9,6.9,(X),(X),16.3,(X),(X),(X),18.6,(X),(X),(X),11.8,(X),(X),(X)
1600000US2601340,2601340,"Allendale CDP, Michigan",4852,337,44610,6195,89.3,3.4,48525,9704,4.1,2.5,(X),(X),1.4,1.1,(X),(X),1.5,1.2,(X),(X),0.0,0.5,-,**,2.6,2.4,40625,10161,1.1,0.8,(X),(X),4.3,2.6,40446,14483,88.6,3.4,47775,9436,26.8,4.4,18259,2885,34.0,4.0,59268,4897,29.3,3.2,73958,7662,9.9,1.6,39643,8461,2817,243,63625,8984,56.4,5.4,60542,8773,43.6,5.4,69119,8586,84.3,4.7,(X),(X),9.5,3.0,(X),(X),6.2,3.4,(X),(X),2035,293,22610,4147,50.9,8.4,(X),(X),16.4,4.4,(X),(X),34.5,7.4,(X),(X),49.1,8.4,(X),(X),20.2,6.5,(X),(X),28.8,7.3,(X),(X),30.8,(X),(X),(X),21.8,(X),(X),(X),43.2,(X),(X),(X)
1600000US2601380,2601380,"Allen Park city, Michigan",10592,251,63007,2965,95.1,1.3,65000,2985,2.3,0.8,43355,19185,0.1,0.1,-,**,0.3,0.2,(X),(X),0.0,0.2,-,**,0.9,0.6,20500,16233,1.4,0.9,40387,39754,5.9,1.6,51420,24152,90.7,1.8,64638,3016,2.2,0.8,28490,20614,29.0,1.7,75753,7202,41.7,1.6,77328,3921,27.1,1.5,38803,3670,7312,199,75445,3626,42.5,2.3,80318,3760,57.5,2.3,71004,4468,75.8,2.6,83591,5939,16.9,2.3,42628,5237,7.4,1.5,57917,22271,3280,284,38226,4381,56.4,4.2,(X),(X),50.4,4.0,(X),(X),6.0,2.5,(X),(X),43.6,4.2,(X),(X),36.1,4.6,(X),(X),7.5,2.9,(X),(X),29.5,(X),(X),(X),31.1,(X),(X),(X),24.7,(X),(X),(X)
1600000US2601540,2601540,"Alma city, Michigan",3423,213,34201,3164,95.2,2.6,34445,3040,1.7,2.3,(X),(X),0.6,0.7,-,**,0.0,0.7,-,**,0.0,0.7,-,**,0.6,0.7,(X),(X),1.9,1.2,40500,7606,3.4,1.3,31406,16558,92.8,2.6,34480,3146,9.1,4.3,9358,9053,31.6,4.6,34541,5704,35.2,4.3,42823,8691,24.0,2.9,33204,10224,2083,149,44212,8267,49.1,5.3,32188,11110,50.9,5.3,53598,7823,67.3,6.3,(X),(X),22.1,5.2,(X),(X),10.6,4.3,(X),(X),1340,213,17298,1887,68.6,8.5,(X),(X),60.4,8.0,(X),(X),8.2,4.2,(X),(X),31.4,8.5,(X),(X),28.6,8.4,(X),(X),2.8,2.3,(X),(X),24.5,(X),(X),(X),23.2,(X),(X),(X),25.6,(X),(X),(X)
1600000US2601660,2601660,"Almont village, Michigan",1036,61,46111,5325,94.4,4.2,46852,5525,0.0,2.1,-,**,0.0,2.1,-,**,2.0,2.7,-,**,0.0,2.1,-,**,1.2,1.2,-,**,2.4,2.6,-,**,2.2,1.9,15179,7591,93.3,4.4,47361,5655,4.4,3.7,(X),(X),30.2,5.1,(X),(X),44.1,6.2,(X),(X),21.2,4.3,(X),(X),710,51,57763,5708,43.4,6.8,77750,23840,56.6,6.8,49565,8172,78.2,7.8,(X),(X),14.9,7.1,(X),(X),6.9,4.4,(X),(X),326,71,30667,14116,73.3,10.4,(X),(X),59.5,10.8,(X),(X),13.8,10.5,(X),(X),26.7,10.4,(X),(X),19.0,8.9,(X),(X),7.7,5.5,(X),(X),27.5,(X),(X),(X),27.9,(X),(X),(X),26.7,(X),(X),(X)
1600000US2601740,2601740,"Alpena city, Michigan",4499,177,34087,2841,97.4,1.1,34240,2795,0.1,0.1,-,**,0.6,0.3,25139,13689,0.9,0.6,-,**,0.0,0.5,-,**,0.0,0.5,-,**,1.1,0.8,(X),(X),0.2,0.2,-,**,97.4,1.1,34240,2795,7.7,2.0,10795,3439,26.9,2.7,35617,4859,36.4,2.7,42647,6951,29.0,2.1,30227,4865,2670,127,43315,4356,42.9,4.7,32813,7144,57.1,4.7,47055,2970,64.6,4.5,(X),(X),29.2,4.1,(X),(X),6.2,2.5,(X),(X),1829,198,19104,2350,61.8,6.0,(X),(X),53.3,6.1,(X),(X),8.5,3.4,(X),(X),38.2,6.0,(X),(X),31.9,5.7,(X),(X),6.2,3.4,(X),(X),17.6,(X),(X),(X),14.8,(X),(X),(X),20.3,(X),(X),(X)
1600000US2601800,2601800,"Alpha village, Michigan",51,19,23750,4874,98.0,3.5,23571,4650,0.0,33.9,-,**,0.0,33.9,-,**,0.0,33.9,-,**,0.0,33.9,-,**,0.0,33.9,-,**,2.0,3.5,-,**,0.0,33.9,-,**,98.0,3.5,23571,4650,0.0,33.9,-,**,7.8,11.1,-,**,29.4,16.5,15938,14926,62.7,17.3,23929,3754,18,12,41250,34140,33.3,32.3,-,**,66.7,32.3,41250,26412,77.8,26.8,45000,21684,16.7,25.9,-,**,5.6,11.9,-,**,33,16,22708,5072,54.5,21.4,23500,7503,51.5,21.8,23250,7442,3.0,5.6,-,**,45.5,21.4,21250,7289,45.5,21.4,21250,7289,0.0,43.0,-,**,13.7,(X),(X),(X),11.1,(X),(X),(X),15.2,(X),(X),(X)
